ra dec Kp
186.691059 -0.183372 7.84
182.357697 -0.758528 7.94
186.999049 -7.568084 8.2
187.215228 -6.530317 8.2
186.792846 -3.287509 8.25
183.540724 -1.59081 8.35
181.477705 -2.463263 8.46
183.061893 -7.001071 8.59
188.579254 2.393029 8.61
181.462924 -6.540347 8.63
185.734263 -5.780013 8.64
181.187105 -5.773222 8.71
187.225741 1.148519 8.72
190.458282 -2.750422 8.89
192.810182 -6.944974 8.95
190.770823 -8.610148 9.0
186.926318 1.837431 9.01
188.579238 2.444557 9.02
188.950594 -2.341846 9.08
190.598931 1.615888 9.1
186.619664 -1.887709 9.15
185.517619 -8.557655 9.16
186.710427 -9.636492 9.18
187.25506 -6.591833 9.2
186.923247 -7.581689 9.2
187.813494 1.124812 9.22
192.603862 -7.363559 9.24
184.867591 -10.190879 9.25
190.877036 0.812716 9.3
186.984581 -4.677764 9.32
181.164422 0.759595 9.33
192.118875 -8.044986 9.34
189.686715 -5.328078 9.41
191.982727 -1.010283 9.41
192.790577 -1.748328 9.42
190.168112 0.263602 9.42
189.698533 -3.309065 9.43
186.642218 -0.148855 9.44
184.432401 0.031622 9.47
187.692689 -4.445562 9.48
181.121922 0.6979 9.49
182.412636 -0.773591 9.49
186.832636 -3.238244 9.5
186.985284 1.456807 9.51
192.627331 -7.422406 9.52
189.579916 -5.358543 9.53
186.362062 -6.216901 9.58
187.153764 1.617203 9.62
181.097408 -4.922478 9.63
189.861948 1.03292 9.63
184.350533 -0.011019 9.65
190.000473 -0.529355 9.66
185.622393 -4.701352 9.67
184.783666 2.946516 9.68
190.931199 -8.485013 9.69
183.544121 -1.642151 9.69
185.876269 2.852065 9.7
180.578984 -5.837773 9.7
183.89765 -2.792927 9.71
186.162934 -4.299536 9.71
190.657202 1.625224 9.72
186.786905 -6.52769 9.73
182.378729 0.803377 9.73
182.583369 -8.796078 9.73
182.850993 -10.092356 9.74
190.959452 0.815754 9.74
187.79128 -2.066868 9.74
187.619807 -4.42768 9.75
182.446831 -6.334249 9.75
189.64049 -11.358865 9.76
185.92377 -4.720749 9.76
183.305413 -8.982233 9.78
182.129319 -9.999427 9.83
188.126589 -9.386798 9.84
180.591344 -5.787976 9.84
185.795484 -4.171806 9.84
185.832983 2.8157 9.85
186.653034 -9.636097 9.85
186.019538 2.297887 9.86
183.109304 -4.258129 9.86
184.36605 2.887832 9.87
188.846578 -3.21386 9.88
182.233528 -10.016271 9.88
184.181061 2.320269 9.88
187.711187 0.854556 9.88
190.13978 0.286545 9.91
186.041043 -5.985034 9.91
183.559045 -1.168718 9.91
184.153825 2.982368 9.92
187.575506 1.280396 9.93
190.675186 -4.479278 9.94
189.656814 -11.321506 9.95
188.832377 -10.874429 9.95
187.797602 -2.144032 9.96
181.52982 0.007015 9.97
186.895838 -9.712003 9.98
190.799734 0.94703 9.98
186.971379 1.870469 10.0
185.224398 -0.224428 10.02
186.452844 -6.244236 10.02
185.488797 -4.614501 10.02
181.442904 -2.528691 10.03
190.429304 -2.683181 10.03
186.745135 -7.157175 10.03
182.854835 -10.044389 10.04
186.818601 -8.029669 10.04
187.04004 -0.447037 10.05
181.458318 0.134007 10.05
186.757023 -3.540598 10.07
182.145299 -0.486772 10.08
180.650401 -2.615597 10.08
186.752373 -6.46237 10.09
187.302875 1.176565 10.09
184.821609 -3.298948 10.1
185.958679 1.650864 10.1
184.163347 -7.623664 10.11
179.667817 -6.161818 10.12
192.344215 -7.457534 10.12
189.695216 -4.378841 10.12
181.358726 -6.742056 10.13
188.922073 -2.292771 10.13
184.883747 -9.067216 10.14
182.419441 -7.021176 10.15
192.730848 -1.720193 10.16
187.023441 -1.097288 10.16
186.593169 -5.107397 10.16
188.857951 -5.322641 10.17
191.054456 1.206269 10.17
188.630436 -10.378407 10.17
186.486653 -1.40458 10.17
191.182106 -6.601054 10.17
186.840306 -9.680057 10.17
189.622309 -11.446509 10.18
184.292812 2.912343 10.19
184.538967 -1.167287 10.19
186.319999 -4.506874 10.19
185.463449 -7.876459 10.19
190.348887 -0.716567 10.21
187.188507 1.643108 10.21
181.163943 -0.280774 10.21
181.986317 -0.660437 10.21
188.083999 0.438727 10.21
187.626008 -0.109893 10.21
182.146136 -0.456759 10.21
187.797303 1.084679 10.23
186.254339 -9.258027 10.23
185.387554 -5.895817 10.23
190.484263 -2.699557 10.24
