# ra (deg)
# ___ right ascension (J2000 decimal deg)
# dec (deg)
# ___ declination (J2000 decimal deg)
# err_maj (arcsec)
# ___ Semi-major axis length of the one sigma position uncertainty ellipse
# err_min (arcsec)
# ___ Semi-minor axis length of the one sigma position uncertainty ellipse
# err_ang (deg)
# ___ angle of error ellipse major axis (E of N)
# designation
# ___ source designation formed from sexigesimal coordinates
# j_m (mag)
# ___ J band selected "default" magnitude
# j_cmsig (mag)
# ___ corrected J band photometric uncertainty
# j_msigcom (mag)
# ___ combined (total) J band photometric uncertainty
# j_snr
# ___ J band "scan" signal-to-noise ratio
# h_m (mag)
# ___ H band selected "default" magnitude
# h_cmsig (mag)
# ___ corrected H band photometric uncertainty
# h_msigcom (mag)
# ___ combined (total) H band photometric uncertainty
# h_snr
# ___ H band "scan" signal-to-noise ratio
# k_m (mag)
# ___ K band selected "default" magnitude
# k_cmsig (mag)
# ___ corrected K band photometric uncertainty
# k_msigcom (mag)
# ___ combined (total) K band photometric uncertainty
# k_snr
# ___ K band "scan" signal-to-noise ratio
# ph_qual
# ___ flag indicating photometric quality of source
# rd_flg
# ___ source of JHK "default" mags (AKA "read flag")
# bl_flg
# ___ indicates # JHK components fit simultaneously to source
# cc_flg
# ___ indicates JHK artifact contamination and/or confusion
# ndet
# ___ number of >3-sig. ap. mag measurements, # possible (jjhhkk)
# gal_contam
# ___ flag indicating if src is contaminated by extended source
# mp_flg
# ___ src is positionally associated with an asteroid, comet, etc
# j_h ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
# h_k ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
# j_k ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
ra dec Kp j h k
347.21028 0.01468 10.43904238725011 9.123 8.706 8.624
347.369813 0.297974 11.26409090329934 9.955 9.525 9.461
347.443711 0.178207 10.978935690415723 9.553 9.078 8.985
347.521544 0.266893 11.317825727844983 10.187 9.925 9.835
347.572471 0.044063 10.725574295590324 8.638 8.008 7.829
347.674498 0.362649 11.087481948856231 9.463 8.992 8.804
347.967435 0.569629 11.00993989922058 9.87 9.574 9.511
348.053908 0.013591 10.374719740452823 9.285 9.02 8.963
348.079901 0.309694 10.90309931483815 8.655 7.951 7.798
348.176207 0.522745 10.297452479565772 9.6 9.479 9.469
343.743763 -5.841389 10.177561490800235 8.527 7.971 7.858
348.203594 0.846298 11.364160433204676 10.295 10.074 9.987
348.218995 0.611709 11.03283644934516 10.025 9.868 9.755
348.229929 0.055004 11.482327450017124 10.485 10.243 10.221
348.2947 0.793301 11.080238783184194 9.915 9.617 9.536
348.307087 0.394993 11.096043020842568 9.754 9.358 9.237
348.320619 0.199007 10.367048742763378 9.428 9.243 9.195
348.387697 0.407565 11.470242440467004 10.289 9.943 9.897
348.399578 0.865047 9.645865511133277 8.695 8.512 8.456
348.570471 0.386939 10.764480360531092 9.743 9.552 9.465
348.59054 0.696862 11.030446842970012 9.879 9.574 9.511
348.675712 0.985574 10.82088109381714 9.09 8.494 8.392
348.738924 0.295518 11.141552463031063 10.146 9.917 9.883
348.887225 0.720221 10.862510828119206 9.733 9.47 9.382
349.132963 1.257476 11.093446842970012 9.942 9.643 9.574
349.225375 1.516307 10.268024005789922 8.493 7.908 7.78
349.292922 1.323515 10.742251999081333 9.051 8.525 8.367
349.294807 0.07868 11.194883567488839 9.833 9.394 9.303
