ra	dec	Kp
67.661929	15.691919	6.86
68.03294	21.632338	6.99
75.355664	15.244181	7.54
68.647435	21.105701	7.87
68.695375	21.103722	7.89
75.636138	23.870985	8.15
73.220888	27.314251	8.15
68.410877	15.961558	8.22
77.683755	16.492361	8.31
70.399144	20.263729	8.35
69.806477	22.652262	8.36
73.722707	19.967636	8.38
64.890439	21.065155	8.41
72.209679	15.4841	8.42
67.815396	20.133139	8.42
73.797267	20.313791	8.43
73.087184	22.10187	8.47
77.712668	16.428577	8.5
71.394489	19.328333	8.54
73.326766	24.902699	8.56
71.361339	14.067955	8.61
65.843264	21.183546	8.62
72.966819	23.354689	8.64
67.157245	20.831654	8.64
75.350795	15.190393	8.64
71.659996	21.501942	8.66
70.77642	20.629997	8.66
67.645251	15.733974	8.68
76.696061	26.099854	8.7
76.676933	24.617298	8.71
71.050725	23.613615	8.72
77.929655	24.768045	8.73
71.483168	19.180971	8.75
73.982844	27.835403	8.76
75.251324	15.21632	8.78
68.357318	15.960946	8.79
67.381642	17.893204	8.8
69.129094	16.33193	8.84
74.214307	28.417114	8.84
76.458843	22.854212	8.85
65.791394	21.209625	8.89
78.416054	25.270002	8.89
67.978171	21.635729	8.89
80.022517	21.151627	8.9
79.759398	19.064951	8.9
79.617506	18.910275	8.92
72.961762	17.690926	8.92
78.02529	16.651009	8.95
74.285972	19.385082	8.96
72.90449	25.981054	8.97
72.825409	17.365589	8.98
73.852974	15.133843	9.0
79.859043	20.21841	9.01
72.651576	15.729696	9.01
70.766115	16.297098	9.02
78.47251	24.891357	9.03
78.575456	19.265108	9.03
74.404933	17.392216	9.03
74.263306	28.260233	9.04
74.886576	23.751944	9.05
72.226055	15.569571	9.05
66.970303	24.444662	9.06
71.452752	19.282253	9.06
75.139746	22.615717	9.06
73.84203	15.196884	9.07
71.365746	19.348991	9.08
71.492135	19.177517	9.1
67.484687	20.853775	9.11
75.811504	23.656229	9.11
67.882772	14.705651	9.12
72.157509	13.451654	9.13
74.477537	23.620554	9.13
73.804886	14.842836	9.13
67.90454	17.709803	9.13
67.936105	14.677057	9.13
76.597608	16.124493	9.14
68.408138	16.762503	9.14
74.85874	14.919251	9.14
69.974556	22.277893	9.18
80.176019	19.956326	9.18
77.609128	24.81806	9.21
77.684341	16.595951	9.21
69.344715	21.679588	9.22
74.589414	18.993313	9.23
78.055081	16.60597	9.24
78.857427	15.630092	9.24
73.907387	19.227175	9.25
73.608406	21.750034	9.26
80.691073	19.247013	9.26
71.497149	21.263838	9.27
76.05611	24.307602	9.29
77.265482	16.389782	9.29
76.546076	16.178986	9.3
73.763859	21.671659	9.32
78.831545	24.51613	9.33
71.705979	17.74836	9.34
78.868364	19.431145	9.36
74.169211	28.267727	9.36
73.345246	27.443102	9.37
72.818907	20.166435	9.37
71.390929	14.049093	9.37
75.960388	23.768417	9.37
70.359826	20.278559	9.39
72.701053	21.407452	9.39
69.605947	19.005129	9.4
73.696514	16.113865	9.4
74.249067	28.491163	9.41
69.906658	20.74172	9.41
72.113242	14.79153	9.42
76.422623	20.953112	9.42
77.674094	16.512152	9.42
77.75774	25.958225	9.43
67.79752	16.849955	9.44
72.552054	26.948746	9.44
72.72885	19.764324	9.44
75.911055	23.651926	9.44
70.670024	20.22015	9.44
74.674096	18.639875	9.44
69.333939	18.686653	9.44
71.498322	27.329527	9.45
73.123695	22.067884	9.46
78.497303	24.616737	9.46
71.501874	19.121906	9.46
78.686721	18.902403	9.46
76.115291	24.173325	9.47
77.467305	26.492373	9.47
73.841402	19.280895	9.48
78.815597	24.963402	9.49
72.986578	17.638832	9.5
71.787204	20.882349	9.52
71.124508	19.25186	9.53
75.435961	23.698933	9.54
73.17472	19.999613	9.54
73.248061	27.357964	9.55
77.19192	25.012026	9.56
65.7724	20.805456	9.56
73.061893	21.314533	9.57
68.605784	21.619907	9.57
70.863839	27.026949	9.57
74.106021	17.484425	9.57
75.650671	23.892338	9.57
79.884688	21.012787	9.58
68.367404	16.515711	9.59
70.65513	18.100136	9.59
71.155066	19.009569	9.59
72.54968	13.551214	9.59
70.052966	16.398624	9.6
78.706891	20.880201	9.6
70.674944	17.877588	9.6
67.475571	18.757338	9.61
73.174954	20.000599	9.62
78.045884	16.688663	9.62
71.511803	26.310972	9.62
70.22798	27.043324	9.62
73.275825	21.889854	9.62
76.902451	15.968132	9.63
75.275823	16.38575	9.63
74.793118	16.071684	9.64
73.74069	20.002466	9.65
76.6223	22.182556	9.66
75.539477	20.674387	9.67
71.587847	13.838822	9.68
73.31115	24.984646	9.69
77.628542	24.16328	9.69
75.080936	23.927862	9.71
78.251581	16.453676	9.71
74.266335	23.42272	9.71
74.021921	15.543626	9.72
74.602892	14.200634	9.72
71.720565	21.50535	9.72
71.163755	13.654925	9.73
68.70901	22.890444	9.74
79.38134	20.12961	9.75
72.159611	14.921981	9.75
79.190283	18.912073	9.75
75.453222	24.133627	9.76
77.14193	16.680841	9.76
79.467053	18.678192	9.77
72.333386	27.748283	9.77
68.667369	25.309124	9.77
77.394387	24.325415	9.78
70.721087	20.627123	9.78
78.463564	17.314405	9.78
77.694506	16.516619	9.78
67.533335	20.876583	9.78
78.600245	17.003733	9.79
78.583958	16.957888	9.79
76.070883	15.292395	9.8
69.745454	22.325144	9.8
77.311496	24.472527	9.8
77.686204	16.561701	9.8
67.888131	22.154469	9.81
73.79299	20.392168	9.82
67.787011	16.767403	9.82
80.60505	20.058407	9.82
71.150723	22.456869	9.82
75.489459	24.375448	9.82
71.331326	22.687374	9.83
78.856578	19.502857	9.83
75.126587	21.768291	9.83
71.55458	19.071962	9.83
75.748255	15.180604	9.84
69.777821	22.712078	9.84
69.648059	17.636507	9.84
73.80009	20.283958	9.84
76.446468	22.916786	9.85
72.250326	15.629679	9.85
72.728916	20.217512	9.86
75.6704	24.639668	9.86
71.036891	25.675919	9.86
71.313996	19.12327	9.86
70.029228	22.274757	9.87
68.817986	21.386311	9.87
69.717269	20.780722	9.89
75.91026	23.646488	9.89
78.959995	16.149269	9.89
75.844711	14.95537	9.9
71.163247	26.591692	9.9
76.485693	21.58877	9.91
77.236882	24.887205	9.91
72.833221	14.608469	9.91
68.643009	20.324697	9.91
80.525406	19.110161	9.91
68.36951	16.458057	9.92
75.253091	14.813295	9.92
69.095566	22.290709	9.92
78.176639	17.485992	9.93
68.732998	25.359772	9.93
72.933078	21.162378	9.93
73.991528	27.891251	9.93
77.772115	16.647373	9.94
78.037378	25.770279	9.94
77.137522	25.077837	9.94
73.098011	18.996939	9.94
78.082955	25.875278	9.94
80.541995	20.124842	9.94
70.950779	19.796541	9.95
77.793726	16.594328	9.95
67.873605	22.509254	9.95
68.071167	16.33639	9.95
71.427682	19.105249	9.96
70.719282	19.748171	9.96
75.971975	15.652539	9.96
77.260986	24.344719	9.96
76.360853	16.744461	9.96
71.284003	19.135988	9.96
69.156937	18.754946	9.96
74.441545	17.380333	9.97
76.445799	21.548677	9.97
75.621686	23.833366	9.97
71.183954	27.098713	9.98
70.842032	18.019503	9.98
77.74116	15.7416	9.99
67.026992	19.60187	10.0
68.892433	15.305619	10.0
72.187661	20.35964	10.01
74.212151	18.419315	10.01
78.226444	16.879751	10.01
69.606053	19.004166	10.01
79.217457	18.858864	10.01
74.463656	17.817558	10.01
76.880415	22.033972	10.01
78.616057	18.942125	10.01
78.878897	15.69888	10.01
71.383993	19.02375	10.02
69.723779	25.230511	10.03
68.632299	22.59359	10.03
